,Keyword:0,Keyword:1,Keyword:2,Keyword:3,Keyword:4,Keyword:5,Keyword:6,Keyword:7,Keyword:8,Keyword:9,Keyword:10,Keyword:11,Keyword:12,Keyword:13,Keyword:14,Keyword:15,Keyword:16,Keyword:17,Keyword:18,Keyword:19
87,sri lanka,jaar,raheem sterling,goed,sterling,malen,champions league,sri,lanka,gaan,mensen,nederland,vivianne miedema,amsterdam,nos journaal,morgen op koningsdag,miedema,willen,gaat,league
88,sri lanka,goed,jaar,sterling,malen,raheem sterling,champions league,sri,lanka,nederland,gaan,mensen,vivianne miedema,morgen op koningsdag,amsterdam,gaat,league,sadilek,willen,koningsdag
89,hallo,vis,speer,komt,echt,line,illegaal curacao proberen,nou,muziek,curacao,oliebol,gaat,illegaal curacao,curacao proberen,spaans,line fish,gaan,komen,nee,goed
90,sri lanka,gaan,jaar,britse prins william,sri,mensen,sri lanka verscherpt,man,kpn,drie jaar,zoon,lanka,mozambique,gemeente,sri lankaanse,prins william,britse prins,drie,minister,zeven jaar
91,sri lanka,mensen,sri,koningsdag,tijs,applaus,lanka,vandaag,zoon,man,amsterdam,humberto tan,nos journaal,actie,jaar,willen,mozambique,volgende nos journaal,lachgas,gaan
92,henk otten,otten,leven,mensen,vrouwen,vrouw,twee,gaan,gaat,partij,vind,bus,gedaan,heel,henk,baudet,zeggen,willen,goed,mee
93,heel,goed,tokio,eigenlijk,gaat,echt,temperatuur,pil,controle,gregory sedoc,pieken,krijgen,robert,race,sedoc,voel,nou,zit,heel goed,moment
94,trein,meter,zermatt,lijn,spoorlijn,trein rijdt,meter per kilometer,dal,rijdt,brig,meter per,per,ligt,aangelegd,spoor,meter hoog,traject,station,kilometer,jaren
95,hum hum,hum,koningsdag,fong leng,fong leng tsang,applaus,quote,amsterdam,duthler,man,staking,ciel de paris',morgenochtend begint koningsdag,sous le ciel,paris' s'envole,paris' marchent,paris',soest,jaar,vluchten
96,sri lanka,morgen,sri lanka terug,verslaggever kysia hekster,sri,vvd,vvd zet duthler,lanka,duthler,anne-wil duthler,heel,mensen,apeldoorn,kpn,verslaggever kysia,kysia hekster,amersfoort,nederlanders,huawei,sri lankaanse
97,npo ondertiteling,npo,nos journaal,live ondertiteld,programma werd live,vannacht is redelijk,eenvandaag met rik,zover het nos,fijne avond,vannacht,journaal,rik,westelaken,nos,kijk,regio.,fijne,ondertiteld,ondertiteling,programma
98,goed,beetje,keetje,keetje hodshon,heel goed,heel,huis,kijk,mooi,peter,steenrijke keetje hodshon,heel goed werk.,gaan,allemaal,heel erg mooi,hodshon huis,goed werk.,klein beetje,grote,grote huis
99,mensen,programma,heel,gaat,jaar,leden,gaan,links,rechtse,pauw,applaus,rechts,jensen,geluid,publieke omroep,rechtse mensen vinden,lintje,maken,meneer vos,vind
100,neil waters,helmert,helmert streufels,nee,spannende muziek,gabriel doorkamp,wesley,danny groothuis,danny,neil waters kende,neil,laat,waters,gabriel,streufels,nou,cosgun hamza,oke,niks,jimmy waters
101,air france,klm,air,france,gaan,aandelen air france,gaat,goed,klm topman pieter,twente,klm ceo,nederlanders,fransen,smits,staat,jaar,drie,group air france,zonnepanelen,pieter elbers
102,koning,nee,team ellie,vraag,ellie,laten,team donnie,heel,koninklijk huis,gelach,donnie,gaan,team,eigenlijk,foto,beetje,oke,zien,laten zien,mensen
103,duthler,sri lanka,gaan,koningsdag,drie,almere,heel sri lanka,drie jaar,jongeren,land,centrum,gaan vechten,orkaan,uur,morgen,vandaag,vechten,anne-will duthler,duthler zegt,duthler draait
104,baudet,otten,henk otten,mensen,gaan,partijleider baudet,jaar,nederland,partij,forum,koning willem,koning,gaan mensen,democratie,extinction rebellion,willem,vinden,goed,forum voor democratie,thierry baudet
105,air france,klm,vvd,duthler,air,france,air france klm.,group air france,max verstappen,kamer,fransen,nederlanders,gaat,anne-wil duthler,klm ceo,gaat anne-wil duthler,ceo,morgen,aandelen air france,heel
106,gaan,duthler,sri lanka,almere,drie,centrum,koningsdag,gaan vechten,land,jongeren,heel sri lanka,vandaag,vechten,militairen,vandaag gaan staan,morgen,drie jaar,jaar,uur,orkaan
107,duthler,vvd,kpn,sri lanka,huawei,anne-wil duthler,mensen,vandaag,chinese huawei gaat,gaan,aruba,kpn zegt,gaat,heel,morgen,almere,kpn gaat,heel sri lanka,oranje nassau,koningsdag
108,air france,klm,kamer,duthler,vvd,twente,gaat,gaan,journalisten,france,air,blijft,jaar,psv,gedaan,sri lanka,goed,smits,heel,laten
109,air france,klm,group air france,air,france,air france klm.,fransen,natuurlijk,ceo,neerlandaise klm,zeggen,group air,filiale neerlandaise klm,gaan,klm personeel,nederlanders,klm manager,voormalig klm,klm omgaat,nieuwe
